year,month,temperature
1924,4,-0.261
1924,5,-0.152
1924,6,-0.229
1924,7,-0.255
1924,8,-0.315
1924,9,-0.333
1924,10,-0.321
1924,11,-0.216
1924,12,-0.347
1925,1,-0.414
1925,2,-0.449
1925,3,-0.25
1925,4,-0.237
1925,5,-0.165
1925,6,-0.265
1925,7,-0.281
1925,8,-0.159
1925,9,-0.214
1925,10,-0.142
1925,11,-0.021
1925,12,0.171
1926,1,0.237
1926,2,-0.003
1926,3,0.136
1926,4,-0.076
1926,5,-0.194
1926,6,-0.199
1926,7,-0.228
1926,8,-0.118
1926,9,-0.111
1926,10,0.015
1926,11,-0.054
1926,12,-0.216
1927,1,-0.236
1927,2,-0.169
1927,3,-0.375
1927,4,-0.231
1927,5,-0.173
1927,6,-0.263
1927,7,-0.203
1927,8,-0.174
1927,9,-0.124
1927,10,0.06
1927,11,-0.066
1927,12,-0.252
1928,1,0.115
1928,2,-0.019
1928,3,-0.216
1928,4,-0.187
1928,5,-0.291
1928,6,-0.376
1928,7,-0.201
1928,8,-0.232
1928,9,-0.269
1928,10,-0.148
1928,11,-0.136
1928,12,-0.141
1929,1,-0.407
1929,2,-0.528
1929,3,-0.399
1929,4,-0.371
1929,5,-0.427
1929,6,-0.427
1929,7,-0.438
1929,8,-0.29
1929,9,-0.266
1929,10,-0.128
1929,11,-0.139
1929,12,-0.489
1930,1,-0.216
1930,2,-0.278
1930,3,-0.112
1930,4,-0.197
1930,5,-0.212
1930,6,-0.205
1930,7,-0.146
1930,8,-0.119
1930,9,-0.13
1930,10,-0.06
1930,11,0.126
1930,12,-0.001
1931,1,-0.092
1931,2,-0.215
1931,3,-0.079
1931,4,-0.16
1931,5,-0.189
1931,6,-0.056
1931,7,-0.011
1931,8,-0.006
1931,9,-0.05
1931,10,0.079
1931,11,-0.04
1931,12,0.003
1932,1,0.115
1932,2,-0.17
1932,3,-0.102
1932,4,0.048
1932,5,-0.065
1932,6,-0.219
1932,7,-0.174
1932,8,-0.201
1932,9,-0.004
1932,10,-0.041
1932,11,-0.312
1932,12,-0.176
1933,1,-0.244
1933,2,-0.269
1933,3,-0.311
1933,4,-0.274
1933,5,-0.303
1933,6,-0.384
1933,7,-0.282
1933,8,-0.203
1933,9,-0.349
1933,10,-0.231
1933,11,-0.378
1933,12,-0.41
1934,1,-0.25
1934,2,-0.085
1934,3,-0.373
1934,4,-0.333
1934,5,-0.147
1934,6,-0.163
1934,7,-0.15
1934,8,-0.144
1934,9,-0.186
1934,10,-0.04
1934,11,0.053
1934,12,-0.033
1935,1,-0.357
1935,2,0.077
1935,3,-0.156
1935,4,-0.317
1935,5,-0.333
1935,6,-0.223
1935,7,-0.204
1935,8,-0.223
1935,9,-0.235
1935,10,-0.038
1935,11,-0.39
1935,12,-0.185
1936,1,-0.296
1936,2,-0.335
1936,3,-0.31
1936,4,-0.179
1936,5,-0.167
1936,6,-0.155
1936,7,-0.078
1936,8,-0.117
1936,9,-0.131
1936,10,0.042
1936,11,-0.074
1936,12,0.036
1937,1,-0.055
1937,2,0.072
1937,3,-0.154
1937,4,-0.096
1937,5,-0.04
1937,6,0.017
1937,7,0.018
1937,8,0.04
1937,9,0.118
1937,10,0.145
1937,11,0.075
1937,12,-0.019
1938,1,0.084
1938,2,0.08
1938,3,0.083
1938,4,0.057
1938,5,-0.095
1938,6,-0.131
1938,7,-0.071
1938,8,-0.023
1938,9,0.043
1938,10,0.213
1938,11,0.07
1938,12,-0.106
1939,1,-0.028
1939,2,-0.083
1939,3,-0.203
1939,4,-0.011
1939,5,0.076
1939,6,0.018
1939,7,-0.045
1939,8,-0.023
1939,9,-0.04
1939,10,-0.073
1939,11,-0.061
1939,12,0.429
1940,1,0.074
1940,2,0.114
1940,3,0.082
1940,4,0.13
1940,5,0.04
1940,6,0.022
1940,7,0.125
1940,8,0.062
1940,9,0.072
1940,10,0.049
1940,11,-0.056
1940,12,0.216
1941,1,-0.005
1941,2,0.133
1941,3,-0.06
1941,4,-0.024
1941,5,0.018
1941,6,0.051
1941,7,0.12
1941,8,-0.014
1941,9,-0.207
1941,10,0.219
1941,11,-0.024
1941,12,0.198
1942,1,0.349
1942,2,0.01
1942,3,0.083
1942,4,0.012
1942,5,0.078
1942,6,0.038
1942,7,-0.029
1942,8,-0.075
1942,9,-0.074
1942,10,0.021
1942,11,0.007
1942,12,0.109
1943,1,-0.041
1943,2,0.131
1943,3,-0.041
1943,4,0.134
1943,5,0.086
1943,6,-0.031
1943,7,0.081
1943,8,0.106
1943,9,0.024
1943,10,0.31
1943,11,0.156
1943,12,0.269
1944,1,0.39
1944,2,0.248
1944,3,0.258
1944,4,0.175
1944,5,0.169
1944,6,0.111
1944,7,0.178
1944,8,0.226
1944,9,0.187
1944,10,0.282
1944,11,0.069
1944,12,0.131
1945,1,0.109
1945,2,-0.016
1945,3,0.085
1945,4,0.22
1945,5,0.013
1945,6,0.003
1945,7,-0.01
1945,8,0.226
1945,9,0.101
1945,10,0.216
1945,11,0.001
1945,12,-0.065
1946,1,0.057
1946,2,-0.046
1946,3,0.03
1946,4,0.075
1946,5,-0.061
1946,6,-0.199
1946,7,-0.075
1946,8,-0.167
1946,9,-0.13
1946,10,-0.015
1946,11,-0.077
1946,12,-0.256
1947,1,0.002
1947,2,0.025
1947,3,0.128
1947,4,0.077
1947,5,-0.054
1947,6,-0.056
1947,7,-0.048
1947,8,-0.117
1947,9,-0.112
1947,10,0.118
1947,11,0.061
1947,12,-0.063
1948,1,0.08
1948,2,-0.16
1948,3,-0.217
1948,4,-0.089
1948,5,0.049
1948,6,0.031
1948,7,-0.109
1948,8,-0.06
1948,9,-0.157
1948,10,-0.035
1948,11,-0.198
1948,12,-0.297
1949,1,0.089
1949,2,-0.193
1949,3,-0.078
1949,4,-0.096
1949,5,-0.08
1949,6,-0.245
1949,7,-0.173
1949,8,-0.108
1949,9,-0.165
1949,10,-0.026
1949,11,-0.138
1949,12,-0.061
1950,1,-0.225
1950,2,-0.337
1950,3,-0.113
1950,4,-0.2
1950,5,-0.069
1950,6,-0.019
1950,7,-0.025
1950,8,-0.17
1950,9,-0.194
1950,10,-0.17
1950,11,-0.339
1950,12,-0.183
